Signal_Date,Asset,ROC,Return,Date
2007-12-14,nifty_bank,0.31330301970996044,-0.05688989488989604,2007-12-14
2007-12-21,nifty_bank,0.14961701658475612,0.06304716392913279,2007-12-21
2007-12-28,nifty_bank,0.2527771083617476,0.04119212299400954,2007-12-28
2008-01-04,nifty_bank,0.28979079850170164,0.03208669850174606,2008-01-04
2008-01-11,nifty_bank,0.42266091254491767,-0.07779629214055594,2008-01-11
2008-01-18,nifty_bank,0.11314414516772398,0.0012679400075679137,2008-01-18
2008-01-25,nifty_bank,0.020035123032245528,-0.04360021485426435,2008-01-25
2008-02-01,nifty_bank,0.05078719106463869,-0.05468500923316222,2008-02-01
2008-02-08,nifty_bank,-0.06936246138495683,0.06385956727770226,2008-02-08
2008-02-15,nifty_bank,0.044793258620070775,-0.07408811357965417,2008-02-15
2008-02-22,nifty_bank,-0.07366348192144634,0.00037420411350175264,2008-02-22
2008-02-29,nifty_bank,-0.11308072030421867,-0.16346023938755994,2008-02-29
2008-03-07,nifty_it,-0.17674029191517748,-0.061495752223794886,2008-03-07
2008-03-14,nifty_bank,-0.23140573472530457,-0.09139462360153394,2008-03-14
2008-03-21,nifty_it,-0.2743204225776178,0.1152621453191649,2008-03-21
2008-03-28,nifty_it,-0.14976593333219923,-0.02640403995310392,2008-03-28
2008-04-04,nifty_it,-0.1368533351426241,0.006063184999840043,2008-04-04
2008-04-11,nifty_it,-0.05796800434883009,0.1253841018690054,2008-04-11
2008-04-18,nifty_it,0.09018155383547799,-0.03220112712396439,2008-04-18
2008-04-25,nifty_it,0.022446448340030623,0.07031397529219108,2008-04-25
2008-05-02,nifty_it,0.12558537383768864,-0.027823215136817292,2008-05-02
2008-05-09,nifty_it,0.09549868279083218,0.050340803838794246,2008-05-09
2008-05-16,nifty_it,0.13326110746240882,-0.035649524599716376,2008-05-16
2008-05-23,nifty_it,0.10185722114600315,0.06787613592799469,2008-05-23
2008-05-30,nifty_it,0.2462221493083716,-0.02496620144200934,2008-05-30
2008-06-06,nifty_it,0.29472905313583486,-0.05438269638759663,2008-06-06
2008-06-13,nifty_it,0.23465156188222203,-0.03308117462207261,2008-06-13
2008-06-20,nifty_it,0.07042800921440628,-0.042371483451101644,2008-06-20
2008-06-27,nifty_it,0.05287247338927625,-0.00044971987813102743,2008-06-27
2008-07-04,nifty_it,0.046056541378187266,-0.04031694832521593,2008-07-04
2008-07-11,nifty_it,-0.10796435440400354,-0.06977468481410343,2008-07-11
2008-07-18,nifty_it,-0.14259650136224322,0.023924837281740663,2008-07-18
2008-07-25,nifty_it,-0.17975775511312664,0.05326699012242053,2008-07-25
2008-08-01,nifty_it,-0.11134055668194298,0.016758130002716642,2008-08-01
2008-08-08,nifty_it,-0.1397537727802114,-0.0022980288592627796,2008-08-08
2008-08-15,nifty_it,-0.11000266142108317,-0.019962123649850616,2008-08-15
2008-08-22,nifty_bank,-0.12276083151417949,0.05643995654875367,2008-08-22
2008-08-29,nifty_bank,-0.006188874880296513,0.03057174210958502,2008-08-29
2008-09-05,nifty_bank,0.049297981883776654,-0.015019271991504324,2008-09-05
2008-09-12,nifty_bank,0.07563466767987048,0.019034073150076436,2008-09-12
2008-09-19,nifty_bank,0.21131664836787145,-0.07659155456476707,2008-09-19
2008-09-26,nifty_bank,0.1678455211892973,-0.006047764370414543,2008-09-26
2008-10-03,nifty_bank,0.10545344739202278,-0.14764343311520034,2008-10-03
2008-10-10,nifty_bank,-0.0837144838275039,0.049726570410591364,2008-10-10
2008-10-17,nifty_bank,-0.12399344210782037,-0.1685138626834628,2008-10-17
2008-10-24,nifty_bank,-0.2770677342313098,0.04910625171774452,2008-10-24
2008-10-31,nifty_bank,-0.2986893842089957,0.11541004198287719,2008-10-31
2008-11-07,nifty_bank,-0.1635973220707294,-0.06427018962764752,2008-11-07
2008-11-14,nifty_bank,-0.182936425078301,-0.08871884470381819,2008-11-14
2008-11-21,nifty_bank,-0.2952040161965298,-0.002220636764952655,2008-11-21
2008-11-28,nifty_bank,-0.31763034129916234,0.01534555985105146,2008-11-28
2008-12-05,nifty_bank,-0.2965943561760762,0.06846449499368834,2008-12-05
2008-12-12,nifty_bank,-0.26247416469522344,0.10500936957143314,2008-12-12
2008-12-19,nifty_bank,-0.11742960296550897,-0.06895205500711465,2008-12-19
2008-12-26,nifty_bank,-0.17328486720488145,0.08469654883158939,2008-12-26
